admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Moro,PK81303,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK,368789.00
Multan City,PK62203,Multan,PK622,Punjab,PK6,Pakistan,PK,2258570.00
Multan Saddar,PK62202,Multan,PK622,Punjab,PK6,Pakistan,PK,1322756.00
Muridke,PK63302,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK,639784.00
Murree,PK63005,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,233471.00
Musakhel,PK72101,Musakhel,PK721,Balochistan,PK7,Pakistan,PK,167017.00
Muslim Bagh,PK71605,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,78597.00
Muzaffargarh,PK62304,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK,1621744.00
Nag,PK72903,Washuk,PK729,Balochistan,PK7,Pakistan,PK,34269.00
Nagarparkar,PK82104,Tharparkar,PK821,Sindh,PK8,Pakistan,PK,378200.00
Nal,PK71402,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK,169242.00
Nankana Sahib,PK62401,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK,883876.00
Nara,PK80907,Khairpur,PK809,Sindh,PK8,Pakistan,PK,160985.00
Narowal,PK62501,Narowal,PK625,Punjab,PK6,Pakistan,PK,816050.00
Naushahro Feroze,PK81304,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK,372821.00
Nawabshah,PK81603,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK,413913.00
Nawagai,PK23205,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,79002.00
Nowshera,PK21801,Nowshera,PK218,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1081239.00
Nowshera Virkan,PK60903,Gujranwala,PK609,Punjab,PK6,Pakistan,PK,535746.00
Nurpur,PK61602,Khushab,PK616,Punjab,PK6,Pakistan,PK,243295.00
Nushki,PK72301,Nushki,PK723,Balochistan,PK7,Pakistan,PK,178796.00
Oghi,PK21603,Mansehra,PK216,Khyber Pakhtunkhwa,PK2,Pakistan,PK,265728.00
Okara,PK62602,Okara,PK626,Punjab,PK6,Pakistan,PK,1205655.00
Ormara,PK70603,Gwadar,PK706,Balochistan,PK7,Pakistan,PK,25727.00
Pabbi,PK21802,Nowshera,PK218,Khyber Pakhtunkhwa,PK2,Pakistan,PK,437301.00
Paharpur,PK20704,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK,383984.00
Pakpattan,PK62702,Pakpattan,PK627,Punjab,PK6,Pakistan,PK,969225.00
Palas,PK21202,Kohistan,PK212,Khyber Pakhtunkhwa,PK2,Pakistan,PK,275003.00
Panjgur,PK72402,Panjgur,PK724,Balochistan,PK7,Pakistan,PK,260852.00
